item,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99
NM,91813,2971970,24359,68021,235054,230303,842,34757,95230,162039,0,2364,42949,27382,213998,5004,1800,49990,0,1198906,152728,X,X,1804377,57689
NY,X,15612861,271087,76,2078985,1465180,13939,792610,1006782,5922833,55626,X,879,40184,1419382,134842,20818,120914,730,54996670,4954149,1537437,1387474,X,1670278
NC,X,9717598,533809,16,725207,2113248,X,233,307357,1170712,5306,176,990019,39595,994556,119437,18331,379170,50379,15908051,1515650,35,121008,1801,0
ND,5207,919915,9612,19616,59178,173157,1663,53465,26108,164174,424,2195,X,18508,117646,5386,4,66170,0,448704,155458,X,X,1662082,X
OH,X,14393197,118746,219979,666671,2524431,3690,1036909,928292,2256603,52218,29865,277431,48625,504197,83059,3013,893836,136816,10662810,5955,62,X,62983,0
OK,X,3116195,146821,22652,448883,571408,1088,47701,463457,157465,46,165847,55849,27249,812747,21471,6,836,1060,3767669,601224,5,27171,754292,88102
OR,21310,X,18086,27122,49633,619333,2336,18564,377921,1273625,5461,2429,1231713,64021,795820,48734,16902,306162,12500,11256904,1223523,410270,1957,15482,0
PA,40395,13717681,445401,1754340,852301,3031113,10367,994326,1292064,2315053,23511,48133,15125,86559,1307236,94891,72725,1284008,23225,15977933,4045313,1302914,787842,0,48891
RI,3864,1334931,22112,16586,146288,130104,393,93449,158682,229443,1242,182,7034,2213,28168,8049,2624,80859,6639,1757678,257943,38141,17716,X,0
SC,78975,4154363,208490,36213,273744,838264,X,28258,28306,552152,15414,6925,148137,21855,302509,4915,14015,171008,22249,5456360,740197,X,183899,X,0
SD,X,1273575,20021,11045,90063,189881,120,3236,52328,143713,1409,5210,7398,32117,89194,5942,X,136919,22498,X,53960,X,199,9811,904
TN,X,11060457,210708,24503,1108673,1210808,X,8894,242926,625892,1669,380,1381686,44538,387781,48880,4900,453191,10105,179379,2564458,1434,392898,381,13427
TX,X,40413873,1262775,17514,2699643,3596892,4972,725767,1397304,6522820,77839,12801,259538,123727,2220914,187285,19383,585928,159022,X,X,X,X,5089433,0
UT,X,3628512,17880,X,165995,534738,X,54890,106633,294584,0,X,465,32623,242790,29576,X,59270,6960,6672695,745673,X,X,37985,348
VT,1203059,507259,12035,X,63343,109548,X,9576,77473,468383,503,17,3185,8533,75544,14464,X,29864,11391,1233157,166841,26924,71421,X,10409
VA,43332,6527477,295471,5557,551005,1421963,X,495749,287856,2134314,16062,116,76769,27602,504374,80230,697,226454,62790,17066596,1579303,X,810105,3453,110830
WA,4350245,19056609,472949,281,683639,1518342,883,611339,386660,1282554,213953,13791,50387,47739,998237,125839,21114,438328,163246,X,X,324421,1810495,43020,20
WV,8122,1537245,17304,27584,118061,399542,2850,126206,171187,568575,3035,4394,756,15302,4562,148902,389,14521,5041,2253788,320487,X,15913,274256,8175
WI,95757,6373483,73778,47,226531,1123970,0,354279,604097,428437,2327,36,29288,73772,719005,41167,62868,349380,62868,9035988,2517169,1,106166,3991,16513
WY,295925,734785,2238,5018,36231,111244,8064,4592,21553,3364,X,0,17751,42975,102438,4675,X,44658,0,X,X,0,X,435314,4051
